generation:1  best_lengths:92890.2  time:166.165
generation:2  best_lengths:97077.2  time:326.209
generation:3  best_lengths:97077.2  time:487.334
generation:4  best_lengths:97077.2  time:621.495
generation:5  best_lengths:97077.2  time:760.004
generation:6  best_lengths:97077.2  time:918.437
generation:7  best_lengths:97077.2  time:1034.5
generation:8  best_lengths:97077.2  time:1154.61
generation:9  best_lengths:97077.2  time:1278.73
generation:10  best_lengths:97077.2  time:1403.22
generation:11  best_lengths:97077.2  time:1536.13
generation:12  best_lengths:97077.2  time:1662.49
generation:13  best_lengths:97077.2  time:1826.9
generation:14  best_lengths:97077.2  time:1951.23
generation:15  best_lengths:97077.2  time:2070.71
generation:16  best_lengths:97077.2  time:2203.2
generation:17  best_lengths:97077.2  time:2336.04
generation:18  best_lengths:97077.2  time:2473.44
generation:19  best_lengths:97077.2  time:2628.77
generation:20  best_lengths:97077.2  time:2771.61
generation:21  best_lengths:97077.2  time:2897.79
generation:22  best_lengths:97077.2  time:3033.54
generation:23  best_lengths:97077.2  time:3146.69
generation:24  best_lengths:97077.2  time:3283.08
generation:25  best_lengths:97077.2  time:3418.19
generation:26  best_lengths:97077.2  time:3557.23
generation:27  best_lengths:97077.2  time:3696.69
generation:28  best_lengths:97077.2  time:3858.35
generation:29  best_lengths:97077.2  time:4006.32
generation:30  best_lengths:97077.2  time:4159.01
generation:31  best_lengths:97077.2  time:4305.97
generation:32  best_lengths:97077.2  time:4474.31
generation:33  best_lengths:97077.2  time:4617.68
generation:34  best_lengths:97077.2  time:4758.39
generation:35  best_lengths:97077.2  time:4889.9
generation:36  best_lengths:97077.2  time:5022.53
generation:37  best_lengths:97077.2  time:5152.93
generation:38  best_lengths:97077.2  time:5292.43
generation:39  best_lengths:97077.2  time:5430.3
generation:40  best_lengths:97077.2  time:5559.4
generation:41  best_lengths:97077.2  time:5698.55
generation:42  best_lengths:97077.2  time:5823.86
generation:43  best_lengths:97077.2  time:5946.47
generation:44  best_lengths:97077.2  time:6077.75
generation:45  best_lengths:97077.2  time:6220.9
generation:46  best_lengths:97077.2  time:6381.63
generation:47  best_lengths:97077.2  time:6518.82
generation:48  best_lengths:97077.2  time:6650.57
generation:49  best_lengths:97077.2  time:6794.1
generation:50  best_lengths:97077.2  time:6918.99
0 2 3 4 15 18 20 26 39 57 69 79 83 110 104 88 101 106 128 140 117 109 77 85 74 72 66 90 119 108 118 134 133 161 176 203 193 187 186 207 194 181 158 145 130 135 182 169 174 180 173 153 146 122 102 55 49 40 75 91 100 115 121 126 127 120 61 60 87 94 68 97 172 138 116 156 273 329 250 198 237 238 216 219 289 310 301 284 242 191 221 239 255 243 277 313 316 330 340 352 362 377 385 405 420 421 346 360 336 353 382 389 442 478 496 507 511 515 512 502 487 479 465 456 445 451 464 463 471 472 474 475 484 488 505 506 510 516 514 519 517 520 523 524 522 526 529 528 527 513 498 486 509 525 521 508 503 490 470 431 400 376 368 355 335 349 326 319 300 292 265 228 183 141 170 171 136 164 151 201 234 267 212 222 231 226 227 248 247 244 269 272 257 249 233 211 200 199 225 245 253 256 281 291 302 304 320 333 343 339 323 307 312 315 298 280 278 283 294 317 325 331 344 364 369 370 342 334 328 348 354 359 374 371 384 388 397 410 440 477 482 499 501 485 481 448 491 504 518 531 530 500 497 489 480 476 460 469 468 467 462 446 444 432 406 417 430 455 466 473 494 493 492 495 483 461 458 457 454 453 411 439 449 441 427 395 393 392 383 394 373 399 379 378 366 358 338 327 311 318 293 276 299 295 285 260 264 223 208 197 204 206 189 178 165 155 166 175 167 149 139 150 160 192 240 214 213 205 196 185 210 232 246 274 282 314 321 308 322 337 351 347 363 375 381 365 356 361 367 372 380 390 387 401 391 409 418 434 436 429 416 423 426 419 422 425 404 403 396 402 407 413 414 412 415 424 435 437 438 443 452 459 450 447 433 428 408 398 386 357 341 345 350 332 324 306 303 297 296 286 288 266 252 218 229 224 251 261 259 270 268 258 262 275 287 305 309 279 290 271 263 236 254 230 220 217 209 177 152 148 157 179 190 188 241 235 215 202 195 184 163 162 154 132 125 147 137 124 112 107 113 114 103 99 92 93 86 82 95 111 129 143 144 131 142 168 159 123 105 84 96 78 98 76 67 63 71 73 65 62 59 48 38 30 37 42 43 45 46 50 51 58 52 47 53 64 70 81 80 89 56 54 44 41 33 31 28 24 22 23 29 32 34 36 35 27 25 21 14 16 19 17 13 12 9 7 8 10 11 6 5 1 
best_path_length: 92890.2
total_time: 6918.99 s
earliest_shortest_path_iterations:0
