@relation bank-full-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute age numeric
@attribute job {management,technician,entrepreneur,blue-collar,unknown,retired,admin.,services,self-employed,unemployed,housemaid,student}
@attribute marital {married,single,divorced}
@attribute education {tertiary,secondary,unknown,primary}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {yes,no}
@attribute loan {no,yes}
@attribute contact {unknown,cellular,telephone}
@attribute day numeric
@attribute month {may,jun,jul,aug,oct,nov,dec,jan,feb,mar,apr,sep}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute poutcome {unknown,failure,other,success}
@attribute class {no,yes}

@data
34,unemployed,married,secondary,no,200,yes,no,unknown,26,may,155,6,-1,0,unknown,no
33,housemaid,married,primary,no,209,no,no,cellular,12,aug,76,4,-1,0,unknown,no
40,management,single,tertiary,no,-275,yes,no,unknown,8,may,219,2,-1,0,unknown,no
53,technician,married,secondary,no,879,no,no,cellular,5,aug,176,1,-1,0,unknown,no
25,admin.,single,secondary,no,681,yes,no,unknown,26,jun,105,3,-1,0,unknown,no
49,admin.,married,secondary,no,3620,no,no,cellular,4,may,346,2,-1,0,unknown,no
36,services,married,secondary,no,138,yes,no,cellular,8,may,39,3,-1,0,unknown,no
31,services,married,secondary,no,309,yes,no,unknown,23,may,146,6,-1,0,unknown,no
46,unknown,married,primary,no,285,no,no,unknown,11,jun,215,2,-1,0,unknown,no
36,admin.,single,secondary,no,2556,yes,no,cellular,13,apr,342,1,-1,0,unknown,no
46,housemaid,single,primary,no,10889,no,no,cellular,19,oct,167,3,-1,0,unknown,no
41,admin.,married,secondary,no,14968,no,no,cellular,23,jul,1360,4,-1,0,unknown,yes
54,management,married,tertiary,no,313,yes,no,unknown,5,may,83,2,-1,0,unknown,no
28,admin.,divorced,secondary,no,451,yes,no,cellular,13,may,302,1,301,1,success,yes
30,technician,single,secondary,no,53,yes,no,cellular,18,jul,352,5,-1,0,unknown,no
77,retired,married,primary,no,121,no,no,telephone,7,oct,191,1,-1,0,unknown,no
28,student,single,secondary,no,0,no,no,cellular,20,apr,185,1,-1,0,unknown,yes
38,technician,married,secondary,no,-475,yes,no,cellular,10,jul,234,1,-1,0,unknown,no
31,management,married,secondary,yes,0,no,yes,cellular,23,jul,111,1,-1,0,unknown,no
37,management,married,tertiary,no,489,yes,no,cellular,21,nov,202,1,106,5,failure,no
32,technician,single,secondary,no,1210,yes,yes,cellular,7,may,107,1,344,4,failure,no
60,technician,married,secondary,no,0,no,no,cellular,25,may,641,4,-1,0,unknown,yes
38,technician,married,secondary,no,2000,yes,no,cellular,7,may,198,2,-1,0,unknown,no
31,management,single,tertiary,no,713,no,no,cellular,28,aug,162,1,-1,0,unknown,no
41,technician,married,secondary,no,0,no,no,unknown,2,jun,157,3,-1,0,unknown,no
53,management,married,tertiary,no,3634,no,no,cellular,7,may,211,4,88,8,success,yes
32,admin.,divorced,secondary,no,-241,no,yes,unknown,27,jun,856,2,-1,0,unknown,yes
29,admin.,married,secondary,no,943,yes,no,unknown,4,jun,355,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,172,3,-1,0,unknown,no
26,admin.,single,secondary,no,338,no,no,cellular,29,oct,209,1,188,2,unknown,yes
60,management,married,tertiary,no,261,yes,yes,cellular,1,jun,128,1,192,1,failure,no
33,technician,married,tertiary,no,8023,no,no,cellular,25,feb,196,1,87,4,failure,no
47,unknown,married,secondary,no,74,no,no,cellular,8,aug,88,2,-1,0,unknown,no
32,management,married,tertiary,no,8,yes,no,cellular,26,may,175,2,-1,0,unknown,no
34,technician,married,secondary,no,0,no,no,cellular,28,aug,12,13,-1,0,unknown,no
27,housemaid,married,primary,no,3,yes,yes,cellular,30,jul,64,4,-1,0,unknown,no
30,technician,single,secondary,no,0,no,no,cellular,7,aug,82,3,-1,0,unknown,no
31,management,married,tertiary,no,430,yes,no,cellular,25,jul,137,16,-1,0,unknown,no
44,technician,married,tertiary,no,564,yes,no,cellular,13,may,88,2,-1,0,unknown,no
53,entrepreneur,married,tertiary,no,1129,no,yes,cellular,28,jul,241,8,-1,0,unknown,no
34,technician,single,tertiary,no,23919,no,no,cellular,12,aug,384,2,-1,0,unknown,no
35,unemployed,single,secondary,no,127,yes,no,telephone,14,nov,162,1,-1,0,unknown,yes
34,management,married,tertiary,no,4943,yes,no,cellular,17,jul,118,2,-1,0,unknown,no
51,self-employed,married,tertiary,no,150,no,no,unknown,9,jun,146,1,-1,0,unknown,no
34,blue-collar,divorced,secondary,no,1614,yes,no,cellular,15,may,228,2,297,1,other,no
35,entrepreneur,married,secondary,no,2971,no,no,cellular,4,may,429,4,164,2,failure,yes
40,self-employed,single,tertiary,no,1693,yes,no,cellular,17,nov,353,1,-1,0,unknown,no
26,management,single,tertiary,no,761,no,no,cellular,2,feb,362,1,-1,0,unknown,no
34,entrepreneur,married,secondary,no,2,yes,yes,cellular,5,may,184,1,167,6,failure,no
47,admin.,divorced,secondary,no,225,no,no,cellular,28,aug,1126,4,-1,0,unknown,yes
32,management,single,secondary,no,416,yes,no,cellular,18,nov,268,2,-1,0,unknown,no
37,management,married,tertiary,no,1276,no,no,cellular,16,nov,146,1,94,2,success,yes
32,blue-collar,married,secondary,no,20,yes,yes,unknown,8,may,117,3,-1,0,unknown,no
56,retired,divorced,secondary,no,4166,yes,no,unknown,16,may,378,1,-1,0,unknown,no
31,management,married,tertiary,no,1215,no,no,cellular,25,jul,80,2,-1,0,unknown,no
37,services,single,secondary,no,1045,no,no,cellular,17,mar,406,2,41,1,failure,yes
46,services,married,secondary,no,379,no,no,unknown,11,jun,886,2,-1,0,unknown,no
54,blue-collar,divorced,secondary,no,244,yes,yes,cellular,18,may,9,11,350,11,other,no
52,technician,married,secondary,no,463,yes,no,cellular,4,feb,132,6,267,5,failure,no
47,entrepreneur,married,tertiary,no,2518,yes,yes,cellular,21,nov,132,1,186,1,other,no
28,technician,single,tertiary,no,558,yes,no,cellular,15,may,300,1,-1,0,unknown,no
27,admin.,single,tertiary,no,2068,no,no,cellular,7,apr,49,2,-1,0,unknown,no
38,blue-collar,married,secondary,no,0,no,no,cellular,20,nov,266,3,-1,0,unknown,no
60,self-employed,married,secondary,no,17339,no,no,unknown,20,jun,50,11,-1,0,unknown,no
37,management,married,tertiary,no,1403,yes,no,cellular,10,jul,91,15,-1,0,unknown,no
81,retired,divorced,primary,no,949,no,no,cellular,27,sep,188,2,280,1,other,yes
23,technician,single,secondary,no,28,yes,no,cellular,17,apr,183,3,325,2,failure,no
34,management,married,tertiary,no,573,no,no,cellular,10,aug,122,1,-1,0,unknown,no
30,management,single,tertiary,no,60,no,no,cellular,27,aug,87,3,-1,0,unknown,no
