,tol=0.0001,tol=1e-05,tol=1e-06,tol=1e-07,tol=1e-08,M/m,Convergence Rate
0.001,403,979,1554,2130,2706,1000.0,0.9980019980019981
0.01,99,156,214,271,329,100.0,0.9801980198019802
0.1,16,22,28,33,39,10.0,0.8181818181818181
0.33,6,8,9,11,13,3.0303030303030303,0.5037593984962405
1.0,1,1,1,1,1,1.0,0.0
3.0,8,10,12,13,15,3.0,0.5
10.0,33,39,45,51,56,10.0,0.8181818181818182
100.0,444,501,559,617,674,100.0,0.9801980198019802
10000.0,67345,73102,78858,84615,90371,10000.0,0.9998000199980002
100000.0,788577,846141,903706,961271,1018835,100000.0,0.999980000199998
