@relation Nomao

@attribute c2 numeric
@attribute c3 numeric
@attribute c4 numeric
@attribute c5 numeric
@attribute c6 numeric
@attribute c7 numeric
@attribute c8 {s,n}
@attribute c9 {s,n}
@attribute c10 numeric
@attribute c11 numeric
@attribute c12 numeric
@attribute c13 numeric
@attribute c14 numeric
@attribute c15 numeric
@attribute c16 {m,s,n}
@attribute c17 {m,s,n}
@attribute c18 numeric
@attribute c19 numeric
@attribute c20 numeric
@attribute c21 numeric
@attribute c22 numeric
@attribute c23 numeric
@attribute c24 {m,s,n}
@attribute c25 {m,s,n}
@attribute c26 numeric
@attribute c27 numeric
@attribute c28 numeric
@attribute c29 numeric
@attribute c30 numeric
@attribute c31 numeric
@attribute c32 {m,s,n}
@attribute c33 {m,s,n}
@attribute c34 numeric
@attribute c35 numeric
@attribute c36 numeric
@attribute c37 numeric
@attribute c38 numeric
@attribute c39 numeric
@attribute c40 {m,s,n}
@attribute c41 {m,s,n}
@attribute c42 numeric
@attribute c43 numeric
@attribute c44 numeric
@attribute c45 numeric
@attribute c46 numeric
@attribute c47 numeric
@attribute c48 {m,s,n}
@attribute c49 {m,s,n}
@attribute c50 numeric
@attribute c51 numeric
@attribute c52 numeric
@attribute c53 numeric
@attribute c54 numeric
@attribute c55 numeric
@attribute c56 {s,m,n}
@attribute c57 {s,m,n}
@attribute c58 numeric
@attribute c59 numeric
@attribute c60 numeric
@attribute c61 numeric
@attribute c62 numeric
@attribute c63 numeric
@attribute c64 {n,s,m}
@attribute c65 {n,s,m}
@attribute c66 numeric
@attribute c67 numeric
@attribute c68 numeric
@attribute c69 numeric
@attribute c70 numeric
@attribute c71 numeric
@attribute c72 {s,n,m}
@attribute c73 {s,n,m}
@attribute c74 numeric
@attribute c75 numeric
@attribute c76 numeric
@attribute c77 numeric
@attribute c78 numeric
@attribute c79 numeric
@attribute c80 {s,n,m}
@attribute c81 {s,n,m}
@attribute c82 numeric
@attribute c83 numeric
@attribute c84 numeric
@attribute c85 numeric
@attribute c86 numeric
@attribute c87 numeric
@attribute c88 {s,m,n}
@attribute c89 {s,m,n}
@attribute c90 numeric
@attribute c91 numeric
@attribute c92 numeric
@attribute c93 {m,n,s}
@attribute c94 numeric
@attribute c95 numeric
@attribute c96 numeric
@attribute c97 {m,s,n}
@attribute c98 numeric
@attribute c99 numeric
@attribute c100 numeric
@attribute c101 {s,n,m}
@attribute c102 numeric
@attribute c103 numeric
@attribute c104 numeric
@attribute c105 {s,n,m}
@attribute c106 numeric
@attribute c107 numeric
@attribute c108 numeric
@attribute c109 {s,n,m}
@attribute c110 numeric
@attribute c111 numeric
@attribute c112 numeric
@attribute c113 {n,m,s}
@attribute c114 numeric
@attribute c115 numeric
@attribute c116 numeric
@attribute c117 {n,m,s}
@attribute c118 numeric
@attribute c119 numeric
@attribute class {1,-1}

@data
0,0,0.247727,0.166667,0.363636,0.117647,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.714286,0.625,0.768254,0.744444,0.738095,0.674419,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,1,1,1,s,1,1,1,s,0.999908,0.666667,0.333333,n,0.999935,0.7,0.428571,n,?,?,?,m,?,?,?,m,1,?,-1
0.333333,0.2,0.321429,0.25,0.384615,0.205128,n,n,1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,0.333333,0.333333,0.433333,0.354167,0.5,0.259259,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.6,0.6,0.66,0.6125,0.689655,0.472222,n,n,1,0.428571,0.6,0.6,0.513514,0.555556,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.004831,0.727273,0.5,n,?,?,?,m,?,?,?,n,0.997886,0.5,0.25,n,0.997886,0.4,0.235294,n,0.997267,0.75,0.363636,n,0.99946,0.75,0.5,n,0.999991,0.999992,-1
1,0.5,0.666667,0.666667,0.692308,0.714286,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,0,0,0.3,0.058824,0.3,0.058824,n,n,0.5,0.5,0.791667,0.677778,0.424242,0.714286,n,n,0.666667,0.222222,0.454545,0.357407,0.375,0.22807,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.989087,0.6,0.176471,n,0.982436,0.4,0.1875,n,0.934052,0.266667,0.1,n,0.995993,0.615385,0.176471,n,0.999559,0.995024,1
0,0,0.266667,0.025,0.263158,0.029412,n,n,1,1,1,1,1,1,s,s,0,0,0.8,0.333333,0.8,0.333333,n,n,0.25,0.2,0.347222,0.222222,0.285714,0.090909,n,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,0.428571,0.375,0.581667,0.444444,0.58,0.338235,n,n,0.428571,0.375,0.581667,0.444444,0.58,0.338235,n,n,0,0,0.8,0.333333,0.8,0.333333,n,n,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,0.008621,0.4,0.25,n,0.989953,0.444444,0.176471,n,0.982967,0.4,0.222222,n,0.989995,0.625,0.214286,n,0.982986,0.444444,0.25,n,0.999597,0.999598,-1
0.75,0.5,0.6,0.6,0.458333,0.458333,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.75,0.428571,0.64632,0.55615,0.232558,0.375,n,n,1,0.5,0.666667,0.666667,0.48,0.5,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,m,0.999855,0.6,0.333333,n,0.99812,0.5,0.294118,n,0.969909,0.5,0.2,n,0.990482,0.6,0.235294,n,0.999996,0.998946,1
1,1,1,1,1,1,s,s,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,0,0,0.083333,0,0,0,n,n,1,1,1,1,1,1,s,s,1,0.5,0.666667,0.666667,0.6,0.6,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,1,1,1,s,?,?,?,m,?,?,?,m,1,?,1
0.8,0.666667,0.818182,0.727273,0.545455,0.56,n,n,0,0,0.833333,0.333333,1,1,n,n,1,1,1,1,1,1,s,s,0.75,0.75,0.85,0.78125,0.85,0.695652,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.571429,0.571429,0.791837,0.668651,0.8,0.681818,n,n,0.857143,0.666667,0.825,0.791667,0.72549,0.685185,n,n,0,0,0.6,0.333333,0.6,0.333333,n,n,1,1,1,1,1,1,s,s,0,0.272727,0.090909,n,?,?,?,m,1,1,1,s,0.997291,0.333333,0.176471,n,0.99585,0.4,0.222222,n,?,?,?,m,?,?,?,m,0.999975,?,1
1,0.75,0.857143,0.857143,0.8,0.8125,s,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.857143,0.923077,0.923077,0.833333,0.833333,s,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,1,1,1,s,?,?,?,m,?,?,?,m,1,1,1,s,1,1,1,s,0.999999,0.875,0.636364,n,0.999972,0.777778,0.5,n,1,1,1
0.333333,0.25,0.5,0.357143,0.526316,0.409091,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,1,0.142857,0.25,0.25,0.216216,0.236842,s,n,1,0.285714,0.444444,0.444444,0.365854,0.380952,s,n,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.987522,0.333333,0.176471,n,0.998085,0.5,0.3125,n,0.999958,0.625,0.384615,n,0.999633,0.555556,0.357143,n,0.999837,1,1
0,0,0.204365,0.017094,0.166667,0.016949,n,n,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,?,?,?,?,?,?,m,m,1,1,1,1,1,1,s,s,0.833333,0.714286,0.82967,0.769231,0.8,0.605634,n,n,0.833333,0.714286,0.82967,0.769231,0.769231,0.584615,n,n,1,1,1,1,1,1,s,s,1,1,1,1,1,1,s,s,?,?,?,m,?,?,?,m,?,?,?,n,0.997684,0.555556,0.285714,n,0.996308,0.6,0.333333,n,0.997984,0.444444,0.285714,n,0.995913,0.5,0.333333,n,0.999981,0.999979,-1
