generation:1  best_lengths:94286.3  time:807.227
generation:2  best_lengths:93930.5  time:1519.63
generation:3  best_lengths:92800.9  time:2193.58
generation:4  best_lengths:92800.9  time:2888.17
generation:5  best_lengths:92800.9  time:3513.76
generation:6  best_lengths:92800.9  time:4164.26
generation:7  best_lengths:92800.9  time:4816.58
generation:8  best_lengths:92800.9  time:5473.21
generation:9  best_lengths:92800.9  time:6098.24
generation:10  best_lengths:92800.9  time:6696.59
generation:11  best_lengths:92800.9  time:7299.52
generation:12  best_lengths:92800.9  time:7912.1
generation:13  best_lengths:92800.9  time:8505.08
generation:14  best_lengths:92800.9  time:9110.53
generation:15  best_lengths:92800.9  time:9724.31
generation:16  best_lengths:92800.9  time:10307.7
generation:17  best_lengths:92800.9  time:10924.3
generation:18  best_lengths:92800.9  time:11538.8
generation:19  best_lengths:92800.9  time:12122.3
generation:20  best_lengths:92800.9  time:12717.8
generation:21  best_lengths:92800.9  time:13318.2
generation:22  best_lengths:92800.9  time:13922.1
generation:23  best_lengths:92800.9  time:14544.8
generation:24  best_lengths:92800.9  time:15129.6
generation:25  best_lengths:92800.9  time:15775
generation:26  best_lengths:92800.9  time:16405.6
generation:27  best_lengths:92800.9  time:17012.5
generation:28  best_lengths:92800.9  time:17613.2
generation:29  best_lengths:92800.9  time:18227.3
generation:30  best_lengths:92800.9  time:18860.1
generation:31  best_lengths:92800.9  time:19453.6
generation:32  best_lengths:92800.9  time:20079.5
generation:33  best_lengths:92800.9  time:20667.2
generation:34  best_lengths:92800.9  time:21270.7
generation:35  best_lengths:92800.9  time:21882.3
generation:36  best_lengths:92800.9  time:22511.4
generation:37  best_lengths:92800.9  time:23123.5
generation:38  best_lengths:92800.9  time:23700.4
generation:39  best_lengths:92800.9  time:24338.6
generation:40  best_lengths:92800.9  time:24929.4
generation:41  best_lengths:92800.9  time:25508.7
generation:42  best_lengths:92800.9  time:26113
generation:43  best_lengths:92800.9  time:26707.4
generation:44  best_lengths:92800.9  time:27316.6
generation:45  best_lengths:92800.9  time:27932.5
generation:46  best_lengths:92800.9  time:28541.4
generation:47  best_lengths:92800.9  time:29139.9
generation:48  best_lengths:92800.9  time:29761.6
generation:49  best_lengths:92800.9  time:30327.9
generation:50  best_lengths:92800.9  time:30922.7
Best Path: 202 195 184 185 163 162 154 132 114 113 103 99 93 86 70 64 53 47 42 35 37 30 38 48 59 62 65 73 82 95 105 96 78 84 71 63 67 76 98 123 83 79 110 104 106 88 69 57 39 26 20 18 15 4 3 2 0 1 5 6 8 7 9 12 13 10 11 14 16 17 19 21 27 25 32 29 23 22 24 28 31 33 34 36 43 45 41 44 46 50 51 52 58 56 54 89 80 81 92 107 112 125 147 124 137 157 148 152 177 190 179 188 215 217 209 220 236 230 254 279 263 271 262 241 235 258 268 261 251 224 229 218 210 196 232 246 252 266 259 270 286 297 288 322 332 345 324 306 303 296 275 287 305 290 309 341 357 386 398 408 433 447 450 459 452 443 438 437 435 428 424 415 412 414 413 407 402 396 403 404 425 422 419 426 423 416 429 436 434 418 409 401 391 378 379 373 366 358 347 351 363 356 365 375 381 387 390 380 372 367 361 350 337 321 314 308 282 274 240 260 264 223 253 245 256 225 199 189 206 204 208 197 175 166 178 165 155 134 133 161 176 200 211 203 249 233 257 281 276 293 299 295 285 327 338 311 318 304 302 320 333 343 339 323 291 307 312 315 317 394 399 417 406 432 444 446 462 467 468 469 460 476 480 489 466 455 430 441 449 427 395 383 369 364 344 331 325 294 283 298 280 278 269 272 244 247 248 227 226 231 222 212 267 234 265 292 300 319 326 359 354 348 328 334 342 370 374 371 384 410 440 448 411 392 393 439 453 454 457 458 461 483 493 473 494 500 497 531 530 518 504 492 495 491 501 481 485 499 482 477 490 503 508 521 525 509 527 528 513 498 486 442 478 496 507 511 515 512 526 529 522 524 523 520 517 519 514 516 510 506 505 502 487 479 484 488 475 474 472 471 463 464 451 445 456 465 421 420 405 385 377 362 352 340 330 316 313 255 239 191 221 243 242 277 284 301 310 289 219 216 238 198 237 346 360 336 353 382 389 400 431 470 397 388 376 368 355 349 335 273 329 250 116 156 138 172 97 68 94 87 120 141 183 228 170 171 201 151 164 136 127 126 121 61 60 115 100 91 75 40 49 55 130 135 181 158 145 194 207 186 187 193 182 169 174 180 173 153 146 122 119 102 90 66 72 74 77 85 108 118 109 101 117 128 140 139 149 150 160 167 192 214 213 205 168 159 142 131 144 143 129 111 
